image_name,A22,A21,A12,A11,ty,tx
tokyoTimeMachine/images/-3/-37kzzZrm5BGSBLUoqx9sA/_200912/-37kzzZrm5BGSBLUoqx9sA__200912_35.651150_139.690530_000_012.jpg,0.820169746876,-0.0215685050935,0.0648507401347,0.859225809574,-0.130023732781,-0.158046111465
tokyoTimeMachine/images/-3/-37kzzZrm5BGSBLUoqx9sA/_200912/-37kzzZrm5BGSBLUoqx9sA__200912_35.651150_139.690530_030_012.jpg,1.21727788448,-0.0607187487185,0.0442425794899,1.20420002937,-0.00537368096411,-0.00456795375794
tokyoTimeMachine/images/-3/-37kzzZrm5BGSBLUoqx9sA/_200912/-37kzzZrm5BGSBLUoqx9sA__200912_35.651150_139.690530_060_012.jpg,0.828037083149,-0.125280320644,0.0224085692316,0.90590929985,-0.0551305823028,0.140126034617
tokyoTimeMachine/images/-3/-37kzzZrm5BGSBLUoqx9sA/_200912/-37kzzZrm5BGSBLUoqx9sA__200912_35.651150_139.690530_090_012.jpg,0.808596491814,-0.109414413571,0.108243219554,0.790875792503,0.228067263961,0.221025288105
tokyoTimeMachine/images/-3/-37kzzZrm5BGSBLUoqx9sA/_200912/-37kzzZrm5BGSBLUoqx9sA__200912_35.651150_139.690530_120_012.jpg,0.913228988647,0.0110463341698,-0.0595803521574,0.879349410534,-0.242298275232,0.160597026348
tokyoTimeMachine/images/-3/-37kzzZrm5BGSBLUoqx9sA/_200912/-37kzzZrm5BGSBLUoqx9sA__200912_35.651150_139.690530_150_012.jpg,1.08256745338,-0.26861679554,0.250502854586,1.04544794559,-0.0245381463319,0.0738729834557
tokyoTimeMachine/images/-3/-37kzzZrm5BGSBLUoqx9sA/_200912/-37kzzZrm5BGSBLUoqx9sA__200912_35.651150_139.690530_180_012.jpg,0.858083486557,0.0847846493125,0.0363785289228,1.10814464092,-0.158244416118,0.0933877155185
tokyoTimeMachine/images/-3/-37kzzZrm5BGSBLUoqx9sA/_200912/-37kzzZrm5BGSBLUoqx9sA__200912_35.651150_139.690530_210_012.jpg,0.797816634178,-0.123380027711,0.00946383643895,1.12828433514,0.137856334448,0.214692980051
tokyoTimeMachine/images/-3/-37kzzZrm5BGSBLUoqx9sA/_200912/-37kzzZrm5BGSBLUoqx9sA__200912_35.651150_139.690530_240_012.jpg,0.903436899185,-0.00202751462348,0.0109505010769,0.973084807396,0.00538578210399,0.00425432762131
tokyoTimeMachine/images/-3/-37kzzZrm5BGSBLUoqx9sA/_200912/-37kzzZrm5BGSBLUoqx9sA__200912_35.651150_139.690530_270_012.jpg,0.932075321674,0.137528419495,-0.195457100868,1.05163514614,0.01641279459,0.155790224671
